Ego_vx,Ego_vy,Ego_Yawrate,CycleNum
14.1523,NULL,0.00134277,598
14.1523,NULL,0.00164795,599
14.1484,NULL,0.00213623,600
14.1484,NULL,0.00262451,601
14.1445,NULL,0.00262451,602
14.1445,NULL,0.00231934,603
14.1406,NULL,0.00195313,604
14.1406,NULL,0.00146484,605
14.1406,NULL,0.00109863,606
14.1367,NULL,0.0010376,607
14.1367,NULL,0.0012207,608
14.1367,NULL,0.00177002,609
14.1367,NULL,0.00213623,610
14.1367,NULL,0.0020752,611
14.1367,NULL,0.00189209,612
14.1367,NULL,0.00170898,613
14.1367,NULL,0.00183105,614
14.1367,NULL,0.00244141,615
14.1328,NULL,0.00323486,616
14.1289,NULL,0.00366211,617
14.1289,NULL,0.00378418,618
14.1289,NULL,0.00372314,619
14.1289,NULL,0.00317383,620
14.1289,NULL,0.00299072,621
14.1289,NULL,0.00280762,622
14.1289,NULL,0.00274658,623
14.1328,NULL,0.00274658,624
14.1406,NULL,0.00231934,625
14.1445,NULL,0.00177002,626
14.1484,NULL,0.00128174,627
14.1523,NULL,0.000915527,628
14.1484,NULL,0.000915527,629
14.1406,NULL,0.000915527,630
14.1367,NULL,0.000610352,631
14.1328,NULL,0.000305176,632
14.1328,NULL,6.10352e-05,633
14.1328,NULL,0,634
14.1328,NULL,0.000183105,635
14.1367,NULL,0.000427246,636
14.1367,NULL,0.000427246,637
14.1367,NULL,0.000183105,638
14.1406,NULL,0,639
14.1445,NULL,-0.000671387,640
14.1484,NULL,-0.00134277,641
14.1484,NULL,-0.00213623,642
14.1523,NULL,-0.00274658,643
14.1563,NULL,-0.00262451,644
14.1563,NULL,-0.00231934,645
14.1563,NULL,-0.00177002,646
14.1602,NULL,-0.0012207,647
14.1602,NULL,-0.0012207,648
14.1641,NULL,-0.0012207,649
14.168,NULL,-0.000915527,650
14.168,NULL,-0.000610352,651
14.1758,NULL,0,652
14.1836,NULL,0.000366211,653
14.1953,NULL,0.000427246,654
14.2031,NULL,0.000305176,655
14.2109,NULL,0.00012207,656
14.2188,NULL,0.00012207,657
14.2227,NULL,0.000305176,658
14.2305,NULL,0.000366211,659
14.2383,NULL,0.000305176,660
14.2461,NULL,0.000183105,661
14.25,NULL,0,662
14.2539,NULL,-0.000488281,663
14.2539,NULL,-0.000610352,664
14.2539,NULL,-0.000610352,665
14.25,NULL,-0.000671387,666
14.2461,NULL,-0.000427246,667
14.2461,NULL,-0.000488281,668
14.2461,NULL,-0.0010376,669
14.25,NULL,-0.00146484,670
14.25,NULL,-0.00201416,671
14.2539,NULL,-0.00219727,672
14.2539,NULL,-0.00189209,673
14.2539,NULL,-0.00146484,674
14.2578,NULL,-0.000976563,675
14.2617,NULL,-0.000915527,676
14.2656,NULL,-0.00134277,677
14.2695,NULL,-0.00140381,678
14.2734,NULL,-0.00109863,679
14.2773,NULL,-0.000671387,680
14.2813,NULL,-0.00012207,681
14.2813,NULL,-0.000305176,682
14.2852,NULL,-0.000793457,683
14.2891,NULL,-0.0012207,684
14.2969,NULL,-0.00109863,685
14.3047,NULL,-0.000488281,686
14.3086,NULL,0,687
14.3164,NULL,6.10352e-05,688
14.3203,NULL,-0.000366211,689
14.3203,NULL,-0.000732422,690
14.3203,NULL,-0.00109863,691
14.3242,NULL,-0.0012207,692
14.3242,NULL,-0.000915527,693
14.3242,NULL,-0.000732422,694
14.332,NULL,-0.000488281,695
14.332,NULL,-0.000305176,696
14.3359,NULL,-0.000671387,697
14.3398,NULL,-0.00115967,698
14.3398,NULL,-0.00164795,699
14.3398,NULL,-0.00164795,700
14.3398,NULL,-0.00128174,701
14.3359,NULL,-0.000915527,702
14.3359,NULL,-0.000427246,703
14.332,NULL,-0.000244141,704
14.3359,NULL,-0.000305176,705
